Tournament,First_Edition,Last_Edition,City,Venue,Latitude,Longitude
PBZ Zagreb Indoors,2006,Ongoing,Zagreb,Dom Sportova,45.8133°N,15.9780°E
Copa Telmex,1993,2008,Buenos Aires,Buenos Aires Lawn Tennis Club,34.5889°S,58.4306°W
Dubai Tennis Championships,1993,Ongoing,Dubai,Aviation Club Tennis Centre,25.2528°N,55.3322°E
Campionati Internazional d'Italia,1930,Ongoing,Rome,Foro Italico,41.9333°N,12.4667°E
Hypo Group Tennis International,1990,2008,Halle,Gerry Weber Stadion,52.1242°N,8.5701°E
Red Letter Days Open,1993,2000,London,The Queen's Club,51.4901°N,0.2102°W
Synsam Swedish Open,1948,2018,Båstad,Båstad Tennis Stadium,56.5000°N,13.0000°E
Countrywide Classic,1970,2003,Los Angeles,Los Angeles Tennis Center,34.0736°N,118.2500°W
Rogers Masters,1881,Ongoing,Toronto/Montreal,National Tennis Centre / IGA Stadium,43.7767°N,79.5083°W
Kingfisher Airlines Tennis Open,1996,2007,Bangalore,KSLTA Stadium,12.9716°N,77.5946°E
Sony Ericsson Open,1985,2008,Key Biscayne,Crandon Park Tennis Center,25.6900°N,80.2100°W
Internazionali BNL d'Italia,1930,Ongoing,Rome,Foro Italico,41.9333°N,12.4667°E
The Nottingham Open,1970,2019,Nottingham,Nottingham Tennis Centre,52.9397°N,1.1833°W
Catella Swedish Open,1948,2018,Båstad,Båstad Tennis Stadium,56.5000°N,13.0000°E
Indianapolis Tennis Championships,1973,2009,Indianapolis,Indianapolis Tennis Center,39.7684°N,86.1580°W
Austrian Open,1974,2008,Kitzbühel,Tennis Stadium Kitzbühel,47.4417°N,12.5100°E
AIG Japan Open Tennis Championships,1972,2008,Tokyo,Ariake Coliseum,35.6650°N,139.7920°E
Open Sabadell Atlántico 2008,2008,2008,Barcelona,Real Club de Tenis Barcelona,41.3800°N,2.1917°E
Orange Prokom Open,1996,2008,Sopot,Sopot Tennis Stadium,54.4400°N,18.5600°E
Slazenger Open,1970,1990,Johannesburg,Ellis Park Tennis Stadium,-26.2041°S,28.0473°E
Studena Croatia Open,1996,2008,Umag,ATP Stadium Umag,45.4700°N,13.5280°E
Brisbane International,2009,Ongoing,Brisbane,Queensland Tennis Centre,-27.4700°S,153.0200°E
SA Tennis Open,1993,2008,Cape Town,Green Point Tennis Club,-33.9249°S,18.4232°E
BNP Paribas Open,1976,Ongoing,Indian Wells,Indian Wells Tennis Garden,33.7200°N,116.3130°W
Open Banco Sabadell,1993,2008,Barcelona,Real Club de Tenis Barcelona,41.3800°N,2.1917°E
Serbia Open,2009,Ongoing,Belgrade,Novak Tennis Center,44.8176°N,20.4633°E
Mutua Madrileña Madrid Open,2002,Ongoing,Madrid,Caja Mágica,40.4138°N,3.7184°W
AEGON Championships,1890,Ongoing,London,The Queen's Club,51.4901°N,0.2102°W
AEGON International,1884,Ongoing,Eastbourne,Devonshire Park Tennis Club,50.7667°N,0.2833°W
International German Open,1892,2008,Hamburg,Rothenbaum Tennis Center,53.5580°N,9.9880°E
LA Tennis Open,1970,1989,Los Angeles,Los Angeles Tennis Center,34.0736°N,118.2500°W
Proton Malaysian Open,1990,2008,Kuala Lumpur,Putra Stadium,3.1390°N,101.6869°E
Rakuten Japan Open Tennis Championships,1972,Ongoing,Tokyo,Ariake Coliseum,35.6650°N,139.7920°E
Shanghai Masters,2009,Ongoing,Shanghai,Qizhong Forest Sports City Arena,31.2000°N,121.5000°E
Valencia Open 500,2004,Ongoing,Valencia,Ciudad de las Artes y las Ciencias,39.4699°N,0.3763°W
BNP Paribas Masters,1986,Ongoing,Paris,Accor Arena,48.8566°N,2.3522°E
Open de Nice Côte d’Azur,1970,2008,Nice,Nice Lawn Tennis Club,43.7000°N,7.2500°E
Unicef Open,1993,2008,New York,"Stadium Court, USTA Billie Jean King National Tennis Center",40.7128°N,74.0060°W
SkiStar Swedish Open,1948,2018,Båstad,Båstad Tennis Stadium,56.5000°N,13.0000°E
Atlanta Tennis Championships,1972,2019,Atlanta,Atlantic Station,33.7488°,-84.3879°W
German Open Tennis Championships,1890,2008,Hamburg,Rothenbaum Tennis Center,53.5580°N,9.9880°E
Farmers Classic,1927,2013,Los Angeles,Los Angeles Tennis Center,34.0736°N,118.2500°W
Open Sud de France,1987,Ongoing,Montpellier,Park&Suites Arena,43.6117°N,3.8764°E
Copa Claro,1993,Ongoing,Buenos Aires,Buenos Aires Lawn Tennis Club,34.5889°S,58.4306°W
Bet-At-Home Cup,1990,2012,Kitzbühel,Tennis Stadium Kitzbühel,47.4417°N,12.5100°E
Winston-Salem Open at Wake Forest University,1969,Ongoing,Winston-Salem,Wake Forest Tennis Complex,36.0990°N,80.2449°W
Malaysian Open,1996,Ongoing,Kuala Lumpur,Putra Stadium,3.1390°N,101.6869°E
Erste Bank Open,1974,Ongoing,Vienna,Wiener Stadthalle,48.2064°N,16.3705°E
Apia International,1880,Ongoing,Sydney,Sydney Olympic Park Tennis Centre,-33.8833°S,151.0833°E
VTR Open,1993,2008,Viña del Mar,Club de Tenis Papudo,-33.0150°S,-71.5500°W
BRD Nastase Tiriac Trophy,1993,Ongoing,Bucharest,Arenele BNR,44.4268°N,26.1025°E
Mutua Madrid Open,2002,Ongoing,Madrid,Caja Mágica,40.4138°N,3.7184°W
ATP Vegeta Croatia Open,1996,Ongoing,Umag,ATP Stadium Umag,45.4700°N,13.5280°E
BB&T Atlanta Open,1970,2019,Atlanta,Atlantic Station,33.7488°N,-84.3879°W
Crédit Agricole Suisse Open Gstaad,1897,Ongoing,Gstaad,Roy Emerson Arena,46.4742°N,7.2958°E
Citi Open,1969,Ongoing,"Washington, D.C.",Rock Creek Park Tennis Center,38.9650°N,-77.0500°W
U.S. National Indoor Tennis Championships,1898,2013,Memphis,Racquet Club of Memphis,35.1495°N,-90.0490°W
Portugal Open,1990,Ongoing,Estoril,Clube de Ténis do Estoril,37.4000°N,-9.3833°W
Power Horse Cup,1990,2012,Düsseldorf,Rochusclub,51.2217°N,6.7833°E
Topshelf Open,1990,2018,Hertogenbosch,Autotron Rosmalen,52.5000°N,5.3000°E
Claro Open Colombia,2015,Ongoing,Bogotá,Centro de Alto Rendimiento,4.7110°N,-74.0721°W
Royal Guard Open Chile,1993,2008,Santiago,Club de Tenis La Reina,-33.4372°S,-70.6500°W
Delray Beach Open,1993,Ongoing,Delray Beach,Delray Beach Tennis Center,26.4610°N,-80.0800°W
Rio Open,2014,Ongoing,Rio de Janeiro,Jockey Club Brasileiro,-22.9068°S,-43.1729°W
Dusseldorf Open,1978,2012,Düsseldorf,Rochusclub,51.2217°N,6.7833°E
bet-at-home Open,1990,2012,Kitzbühel,Tennis Stadium Kitzbühel,47.4417°N,12.5100°E
Shenzhen Open,2009,Ongoing,Shenzhen,Longgang Sports Center,22.7750°N,114.3000°E
Ecuador Open,2015,Ongoing,Quito,Club Jacarandá,-0.1807°S,-78.4678°W
Memphis Open,1976,2013,Memphis,Racquet Club of Memphis,35.1495°N,-90.0490°W
Argentina Open,1993,Ongoing,Buenos Aires,Buenos Aires Lawn Tennis Club,-34.5889°S,-58.4306°W
Millenium Estoril Open,1990,Ongoing,Estoril,Clube de Ténis do Estoril,37.4000°N,-9.3833°W
Istanbul Open,2015,Ongoing,Istanbul,Koza World of Sports,40.9822°N,28.9492°E
Geneva Open,2015,Ongoing,Geneva,Parc des Sports de Plainpalais,46.2044°N,6.1432°E
AEGON Open,1884,Ongoing,Eastbourne,Devonshire Park Tennis Club,50.7667°N,-0.2833°W
Konzum Croatia Open,1996,Ongoing,Umag,ATP Stadium Umag,45.4700°N,13.5280°E
Suisse Open Gstaad,1897,Ongoing,Gstaad,Roy Emerson Arena,46.4742°N,7.2958°E
ASB Classic,1956,Ongoing,Auckland,ASB Tennis Centre,-36.8667°S,174.7667°E
Garanti Koza Sofia Open,2016,Ongoing,Sofia,Arena Armeec,42.6977°N,23.3219°E
German Tennis Championships,1890,2008,Hamburg,Rothenbaum Tennis Center,53.5580°N,9.9880°E
Abierto Mexicano Mifel,1993,Ongoing,Los Cabos,Cabo Sports Complex,22.8900°N,-109.9167°W
Chengdu Open,2016,Ongoing,Chengdu,Sichuan International Tennis Center,30.5720°N,104.0660°E
European Open,2016,Ongoing,Antwerp,Lotto Arena,51.2194°N,4.4025°E
Open Banco Sabadell ,1993,2008,Barcelona,Real Club de Tenis Barcelona,41.3800°N,2.1917°E
Gazprom Hungarian Open,1993,2015,Budapest,BOK Sportcsarnok,47.4979°N,19.0402°E
Lyon Open,1987,Ongoing,Lyon,Parc de la Tête d'Or,45.7480°N,4.8500°E
Ricoh Open,1996,2001,Rosmalen,Autotron Rosmalen,52.5000°N,5.3000°E
Antalya Open,2011,Ongoing,Antalya,Kaya Palazzo Belek Tennis Center,36.8550°N,31.0010°E
Tata Open,1996,Ongoing,Pune,Balewadi Tennis Complex,18.5204°N,73.8558°E
New York Open,2018,Ongoing,New York,Nassau Coliseum,40.7100°N,73.5950°W
Millennium Estoril Open,1990,Ongoing,Estoril,Clube de Ténis do Estoril,37.4000°N,-9.3833°W
Eastbourne International,1974,Ongoing,Eastbourne,Devonshire Park Tennis Club,50.7667°N,-0.2833°W
Maharashtra Open,1996,Ongoing,Pune,Balewadi Tennis Complex,18.5204°N,73.8558°E
Cordoba Open,2019,Ongoing,Córdoba,Estadio Mario Alberto Kempes,-31.4201°S,-64.1888°W
Sofia Open,2016,Ongoing,Sofia,Arena Armeec,42.6977°N,23.3219°E
Hungarian Open,1993,2015,Budapest,BOK Sportcsarnok,47.4979°N,19.0402°E
Rosmalen Grass Court Championships,1990,2018,Hertogenbosch,Autotron Rosmalen,52.5000°N,5.3000°E
Halle Open,1993,Ongoing,Halle,Gerry Weber Stadion,52.1000°N,8.3000°E
Queen's Club Championships,1890,Ongoing,London,Queen's Club,51.4972°N,-0.2269°W
Zhuhai Open,2018,Ongoing,Zhuhai,Hengqin Tennis Center,22.2700°N,113.5667°E
Adelaide International,2020,Ongoing,Adelaide,Memorial Drive Tennis Centre,-34.9285°S,138.6007°E
Chile Open,2015,Ongoing,Santiago,Club de Tenis La Reina,-33.4372°S,-70.6500°W
bett1HULKS Indoors,2020,Ongoing,Cologne,Lanxess Arena,50.9410°N,6.9570°E
Forte Village Sardegna Open,2017,Ongoing,Santa Margherita di Pula,Forte Village Resort Tennis Center,39.0000°N,9.0000°E
bett1HULKS Championship,2020,Ongoing,Cologne,Lanxess Arena,50.9410°N,6.9570°E
Astana Open,2016,Ongoing,Astana,National Tennis Center,51.1694°N,71.4491°E
Great Ocean Road Open,2021,Ongoing,Melbourne,Melbourne Park Tennis Centre,-37.8136°S,144.9631°E
Murray River Open,2021,Ongoing,Swan Hill,Swan Hill Tennis Club,-35.3314°S,143.5500°E
Singapore Open,1988,Ongoing,Singapore,Singapore Indoor Stadium,1.2900°N,103.8500°E
Miami Open,1985,Ongoing,Miami,Hard Rock Stadium,25.7617°N,-80.1918°W
Sardegna Open,2017,Ongoing,Cagliari,Tennis Club Cagliari,39.2236°N,9.1217°E
AnyTech365 Andalucia Open,2018,Ongoing,Marbella,Puente Romano Tennis Club,36.5100°N,-4.8833°W
Barcelona Open,1953,Ongoing,Barcelona,Real Club de Tenis Barcelona,41.3800°N,2.1917°E
Belgrade Open,2009,Ongoing,Belgrade,Novak Tennis Center,44.8176°N,20.4633°E
Emilia-Romagna Open,2020,Ongoing,Parma,Tennis Club Parma,44.8014°N,10.3270°E
Viking International,2015,Ongoing,Eastbourne,Devonshire Park Tennis Club,50.7667°N,-0.2833°W
Mallorca Championships,2016,Ongoing,Santa Ponsa,Santa Ponsa Tennis Club,39.5500°N,2.5000°E
Nordea Open,1990,Ongoing,Båstad,Båstad Tennis Stadium,56.5000°N,13.0000°E
Mifel Open,2019,Ongoing,Los Cabos,Cabo Sports Complex,22.8900°N,-109.9167°W
Canadian Open,1881,Ongoing,Toronto/Montreal,Aviva Centre (Toronto),43.6532°N,-79.3832°W
San Diego Open,1969,Ongoing,San Diego,Barnes Tennis Center,32.7157°N,-117.1611°W
Vienna Open,1974,Ongoing,Vienna,Wiener Stadthalle,48.2100°N,16.3700°E
Adelaide International 1,2021,Ongoing,Adelaide,Memorial Drive Tennis Centre,-34.9285°S,138.6007°E
Melbourne Summer Set,2021,Ongoing,Melbourne,Melbourne Park Tennis Centre,-37.8136°S,144.9631°E
Adelaide International 2,2021,Ongoing,Adelaide,Memorial Drive Tennis Centre,-34.9285°S,138.6007°E
Sydney Tennis Classic,2021,Ongoing,Sydney,Ken Rosewall Arena,-33.8700°S,151.2000°E
Dallas Open,2021,Ongoing,Dallas,Styslinger/Altec Tennis Complex,32.7767°N,-96.7970°W
Atlanta Open,2019,Ongoing,Atlanta,Atlantic Station,33.7488°N,-84.3880°W
Los Cabos Open,2016,Ongoing,Los Cabos,Cabo Sports Complex,22.8900°N,-109.9167°W
Korea Open,1996,Ongoing,Seoul,Olympic Park Tennis Center,37.5665°N,126.9780°E
Tel Aviv Open,1996,Ongoing,Tel Aviv,Shlomo Group Arena,32.0853°N,34.7818°E
Firenze Open,2019,Ongoing,Florence,Tennis Club Firenze,43.7696°N,11.2558°E
Gijon Open,2019,Ongoing,Gijón,Club de Tenis de Gijón,43.5322°N,-5.6613°W
Napoli Cup,2019,Ongoing,Naples,Tennis Club Napoli,40.8522°N,14.2681°E
Srpska Open,2010,Ongoing,Banja Luka,Teniski Centar Mladost,44.7772°N,17.1910°E
Stuttgart Open,1978,Ongoing,Stuttgart,Tennis Club Weissenhof,48.7833°N,9.1833°E
Zhuhai Championships,2018,Ongoing,Zhuhai,Hengqin Tennis Center,22.2700°N,113.5667°E
Nordic Open,1990,1990,Båstad,Båstad Tennis Stadium,56.5000°N,13.0000°E
Japan Open Tennis Championships,1972,Ongoing,Tokyo,Ariake Coliseum,35.6650°N,139.7920°E
Hong Kong Tennis Open,1976,Ongoing,Hong Kong,Victoria Park Tennis Stadium,22.2795°N,114.1735°E
Tiriac Open,1993,2008,Bucharest,Arenele BNR,44.4268°N,26.1025°E
Hangzhou Open,2015,Ongoing,Hangzhou,Hangzhou Olympic Sports Center Tennis Center,30.2741°N,120.1551°E
Almaty Open,2016,Ongoing,Almaty,National Tennis Center,43.2220°N,76.8512°E
